customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID-00000,Male,0,Yes,Yes,62,No,Yes,DSL,No internet service,No,Yes,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.16,431.31,No
ID-00001,Female,1,Yes,Yes,11,Yes,Yes,DSL,No,Yes,No internet service,No,Yes,No,Two year,Yes,Mailed check,77.36,7877.32,No
ID-00002,Male,0,No,No,10,Yes,Yes,No,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,96.64,6843.43,No
ID-00003,Male,0,Yes,Yes,12,No,No phone service,No,No internet service,No,No,Yes,Yes,No,Month-to-month,No,Credit card,25.01,6074.5,No
ID-00004,Male,0,Yes,Yes,34,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,Two year,Yes,Mailed check,59.8,775.1,Yes
ID-00005,Female,1,Yes,No,26,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No internet service,One year,Yes,Bank transfer,49.56,7812.37,No
ID-00006,Male,0,Yes,Yes,66,Yes,Yes,DSL,No internet service,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card,107.88,2663.85,No
ID-00007,Male,0,No,Yes,44,No,Yes,No,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,44.65,1851.15,No
ID-00008,Male,0,No,No,66,No,Yes,No,No internet service,No,No,No internet service,No,No internet service,Two year,Yes,Credit card,113.15,4243.18,No
ID-00009,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,101.5,8015.74,No
ID-00010,Male,0,No,No,41,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Bank transfer,28.32,8637.61,No
ID-00011,Male,0,No,Yes,19,Yes,No,No,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,66.55,5340.45,No
ID-00012,Male,0,No,No,47,No,Yes,No,No,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,83.47,8299.21,No
ID-00013,Male,0,No,Yes,17,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,One year,No,Mailed check,77.85,3947.09,No
ID-00014,Female,0,Yes,No,69,No,No phone service,No,No,No internet service,No internet service,No internet service,No internet service,Yes,One year,No,Electronic check,86.51,275.34,No
ID-00015,Male,0,No,No,5,Yes,Yes,No,No internet service,Yes,No internet service,Yes,Yes,Yes,One year,No,Electronic check,61.09,2407.2,Yes
ID-00016,Female,0,No,No,38,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Mailed check,109.18,2634.05,Yes
ID-00017,Female,0,No,No,10,Yes,No phone service,No,No internet service,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,45.42,6801.62,No
ID-00018,Female,1,No,Yes,24,No,No phone service,No,Yes,No internet service,No,No,No,No internet service,One year,Yes,Credit card,27.71,1095.02,No
ID-00019,Male,0,Yes,Yes,54,No,No phone service,No,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,No,Bank transfer,116.54,1534.07,No
ID-00020,Female,1,No,No,57,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer,83.77,5341.85,No
ID-00021,Male,0,No,Yes,36,No,No,DSL,No internet service,Yes,No internet service,No,Yes,No,One year,No,Electronic check,84.5,1150.23,No
ID-00022,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No,One year,No,Electronic check,100.41,4312.67,No
ID-00023,Female,1,No,No,69,No,No,DSL,Yes,No,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,60.6,322.16,No
ID-00024,Female,0,No,Yes,36,Yes,Yes,DSL,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,57.07,5815.14,No
ID-00025,Female,0,No,Yes,52,No,No phone service,No,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card,113.64,7890.71,No
ID-00026,Female,0,No,No,15,No,No phone service,DSL,No internet service,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer,57.12,7600.6,No
ID-00027,Female,0,No,No,17,Yes,Yes,DSL,Yes,No internet service,No,No,No,No internet service,Two year,Yes,Mailed check,26.14,656.26,Yes
ID-00028,Female,0,No,No,18,No,Yes,No,No internet service,No,No internet service,No,Yes,Yes,Two year,No,Mailed check,49.19,5140.22,No
ID-00029,Female,0,No,Yes,43,Yes,No,No,No internet service,No,Yes,No internet service,No internet service,No internet service,One year,Yes,Mailed check,106.04,918.19,No
ID-00030,Male,0,Yes,No,1,Yes,No,DSL,No,No internet service,No,Yes,No,Yes,Month-to-month,No,Electronic check,27.79,482.12,No
ID-00031,Male,0,Yes,No,57,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,No internet service,No internet service,Two year,Yes,Electronic check,90.28,5308.18,Yes
ID-00032,Female,0,No,No,9,No,Yes,DSL,No,Yes,No internet service,Yes,No,No,Two year,No,Electronic check,45.02,4979.49,No
ID-00033,Female,0,Yes,No,45,No,No phone service,Fiber optic,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,93.2,831.48,No
ID-00034,Female,0,No,No,18,No,Yes,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,One year,No,Mailed check,69.96,3136.98,No
ID-00035,Male,0,Yes,No,37,Yes,No,DSL,Yes,Yes,No internet service,No,No,Yes,One year,No,Bank transfer,82.23,2762.53,No
ID-00036,Female,1,No,Yes,36,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer,42.69,2986.23,Yes
ID-00037,Male,0,Yes,No,44,No,No phone service,DSL,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,35.15,2905.86,No
ID-00038,Male,1,No,No,33,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,No internet service,One year,No,Electronic check,24.61,7165.17,No
ID-00039,Male,0,Yes,Yes,1,No,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,101.22,3082.82,No
ID-00040,Male,0,Yes,Yes,43,No,No,DSL,Yes,Yes,No,No,No internet service,No,Month-to-month,Yes,Credit card,89.65,2881.98,Yes
ID-00041,Male,0,No,No,26,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer,47.73,274.93,Yes
ID-00042,Female,0,No,Yes,47,Yes,Yes,No,Yes,No internet service,No,No,No,Yes,Two year,No,Electronic check,102.36,6868.36,Yes
ID-00043,Female,0,Yes,No,6,Yes,No phone service,DSL,No,No,Yes,Yes,No internet service,No internet service,Two year,Yes,Electronic check,102.04,5737.12,No
