Feature,Importance
TotalCharges,0.048135059030199635
InternetService,0.04772636854478283
Contract,0.04190343331008293
MonthlyCharges,0.025695833010411007
tenure,0.025570797488956076
StreamingMovies,0.006674416802294037
StreamingTV,0.0057834095430003615
MultipleLines,0.005085897336536726
PaymentMethod,0.003207006122607159
OnlineSecurity,0.003003435893461459
TechSupport,0.0025702033118912395
OnlineBackup,0.0019352088661551247
DeviceProtection,0.0016476788343795957
PaperlessBilling,0.0011139528275078137
SeniorCitizen,0.0010876023663747292
